Year,open,close,high,low,avg_vol,bars
2004,384.0,437.0,456.3,381.1,2.836784439865306,79588
2005,437.1,514.6,540.5,409.8,2.217233070093757,140683
2006,516.8,636.2,729.7,516.3,2.74863457003994,166248
2007,638.2,831.8,845.4,601.5,5.239016928832758,241895
2008,841.0,866.8,1032.2,681.4,7.754170074367119,315462
2009,874.2,1097.51,1226.37,801.9,23.692609048198953,329281
2010,1094.61,1408.13,1430.88,1044.46,37.74512076501352,316648
2011,1415.71,1564.11,1920.61,1307.88,41.75444253944282,323126
2012,1567.37,1674.87,1795.87,1526.96,85.87719526907013,329914
2013,1673.25,1208.26,1696.1,1180.17,123.50430392817704,348635
2014,1225.12,1186.83,1388.91,1131.44,46.930784904577415,348450
2015,1186.94,1060.81,1307.53,1046.23,61.48505510416577,346707
2016,1064.88,1151.32,1375.05,1061.66,86.56759118085417,350238
2017,1151.67,1302.33,1357.42,1145.95,73.36683111867475,349038
2018,1309.81,1279.48,1365.92,1160.07,81.89587324644428,349718
2019,1282.21,1520.46,1556.98,1266.2,43.77661105500033,349507
2020,1520.26,1893.43,2074.87,1451.13,77.58708995974331,351246
2021,1909.07,1827.95,1959.29,1676.82,77.90151959750894,351014
2022,1830.63,1824.2,2070.3,1614.81,86.56867618054453,352888
2023,1826.57,2062.67,2144.77,1804.69,103.85830800807385,352744
2024,2062.91,2624.61,2790.09,1984.03,107.14837724687273,355661
2025,2624.48,4318.36,4550.16,2614.45,193.1602152441847,321867
2026,4329.36,5192.795,5595.418,4309.53,392.08986502032366,52156
