,RF,XGB
atr_14,0.049957479375434495,0.03867647
atr_50,0.042634128328902704,0.05046679
bb_lower,0.023894070033161477,0.023510642
bb_width,0.04934447901974395,0.038046457
close_lag_10d,0.029028914675753414,0.0362506
close_lag_10h,0.03373131831943166,0.037117142
close_lag_1h,0.027397788762032235,0.03929329
close_lag_3h,0.02544269848541985,0.041635398
hl_range,0.0722200272544602,0.046972644
ma_10,0.023232001145396197,0.059044115
ma_100,0.029296889564036588,0.043003146
ma_20,0.029686201249276775,0.032413024
ma_200,0.023746471189971242,0.035182863
ma_50,0.027130467467617842,0.043173518
macd_hist,0.050745505956058486,0.041533038
mom_10,0.0526027598805551,0.037161663
px_over_ma_10,0.046402078389142086,0.045307126
px_over_ma_100,0.039527595897334046,0.043474685
px_over_ma_200,0.03215741824755337,0.03419969
px_over_ma_5,0.05083337902378461,0.04133622
ret_13,0.046373851117433404,0.04177385
ret_2,0.05629555019037428,0.038861837
upper_wick,0.07115110945916461,0.046175867
vol_ma_20,0.02518288262474052,0.025743803
vol_zscore_20,0.041984934343220925,0.039646152
